OrderID,Product,TotalPrice,OrderStatus
ORD200002,Tablet,2753.40,Cancelled
ORD200003,Chair,273.19,Returned
ORD200006,Laptop,664.42,Returned
ORD200008,Phone,268.56,Cancelled
ORD200010,Tablet,3129.85,Returned
ORD200011,Monitor,147.42,Returned
ORD200013,Laptop,604.47,Returned
ORD200019,Monitor,1120.00,Returned
ORD200023,Phone,1093.00,Cancelled
ORD200031,Chair,1500.24,Returned
ORD200033,Chair,162.77,Cancelled
ORD200037,Laptop,153.48,Returned
ORD200042,Printer,303.32,Cancelled
ORD200043,Chair,1497.63,Cancelled
ORD200044,Phone,1100.36,Returned
ORD200045,Chair,317.25,Returned
ORD200047,Desk,419.88,Returned
ORD200050,Tablet,179.22,Cancelled
ORD200051,Tablet,388.33,Returned
ORD200052,Tablet,586.44,Returned
ORD200053,Phone,1955.12,Returned
ORD200055,Printer,1033.20,Cancelled
ORD200056,Tablet,1437.63,Cancelled
ORD200057,Printer,1571.35,Returned
ORD200058,Phone,1898.76,Cancelled
ORD200060,Desk,417.10,Returned
ORD200064,Printer,391.83,Cancelled
ORD200066,Chair,635.90,Cancelled
ORD200067,Printer,48.40,Cancelled
ORD200072,Tablet,2357.76,Returned
ORD200073,Monitor,1733.80,Cancelled
ORD200076,Laptop,1531.52,Cancelled
ORD200077,Phone,583.18,Returned
ORD200080,Phone,1768.68,Returned
ORD200083,Laptop,2161.64,Cancelled
ORD200086,Printer,3215.15,Cancelled
ORD200088,Desk,344.43,Cancelled
ORD200089,Printer,2276.65,Cancelled
ORD200093,Desk,1724.04,Returned
ORD200094,Chair,531.18,Returned
ORD200095,Printer,470.04,Returned
ORD200099,Printer,201.58,Cancelled
ORD200102,Laptop,140.68,Cancelled
ORD200103,Phone,873.72,Cancelled
ORD200105,Printer,556.20,Cancelled
ORD200106,Desk,1395.15,Cancelled
ORD200111,Desk,927.66,Cancelled
ORD200112,Monitor,410.60,Cancelled
ORD200116,Printer,1165.40,Cancelled
ORD200117,Tablet,535.50,Cancelled
ORD200120,Tablet,2517.36,Cancelled
ORD200121,Desk,410.78,Cancelled
ORD200130,Desk,1503.90,Cancelled
ORD200133,Chair,1208.20,Cancelled
ORD200136,Laptop,44.35,Cancelled
ORD200139,Phone,583.90,Returned
ORD200141,Printer,2052.42,Cancelled
ORD200146,Tablet,822.98,Returned
ORD200147,Laptop,930.36,Cancelled
ORD200148,Phone,639.82,Cancelled
ORD200150,Phone,211.14,Returned
ORD200151,Printer,2223.80,Returned
ORD200152,Chair,798.08,Cancelled
ORD200153,Chair,2137.92,Returned
ORD200157,Monitor,1129.16,Returned
ORD200159,Printer,299.35,Cancelled
ORD200161,Monitor,211.14,Cancelled
ORD200163,Tablet,641.39,Cancelled
ORD200165,Monitor,1000.58,Returned
ORD200167,Chair,768.28,Returned
ORD200168,Printer,594.96,Returned
ORD200170,Desk,2651.76,Cancelled
ORD200180,Tablet,1580.35,Returned
ORD200184,Tablet,858.16,Cancelled
ORD200187,Chair,590.87,Returned
ORD200189,Printer,2147.25,Cancelled
ORD200190,Printer,671.10,Returned
ORD200191,Laptop,977.74,Cancelled
ORD200192,Desk,645.46,Cancelled
ORD200193,Printer,46.66,Cancelled
ORD200195,Chair,1857.63,Cancelled
ORD200197,Laptop,1107.55,Returned
ORD200198,Laptop,1361.20,Cancelled
ORD200199,Phone,625.00,Returned
ORD200202,Monitor,761.94,Cancelled
ORD200204,Laptop,1654.84,Cancelled
ORD200205,Desk,442.17,Returned
ORD200206,Laptop,916.40,Returned
ORD200209,Tablet,939.85,Returned
ORD200212,Monitor,265.38,Cancelled
ORD200213,Laptop,634.40,Cancelled
ORD200216,Monitor,1984.00,Cancelled
ORD200217,Desk,1286.04,Returned
ORD200224,Printer,365.84,Cancelled
ORD200225,Phone,821.88,Returned
ORD200227,Monitor,730.34,Cancelled
ORD200228,Chair,1543.68,Cancelled
ORD200232,Printer,1777.76,Cancelled
ORD200233,Phone,933.99,Cancelled
ORD200243,Chair,289.32,Cancelled
ORD200244,Desk,635.54,Cancelled
ORD200245,Laptop,223.30,Returned
ORD200250,Desk,128.85,Returned
ORD200251,Monitor,58.76,Cancelled
ORD200252,Phone,2673.44,Cancelled
ORD200253,Chair,1654.96,Returned
ORD200255,Monitor,263.96,Returned
ORD200256,Chair,379.05,Returned
ORD200257,Phone,406.22,Cancelled
ORD200262,Phone,996.28,Returned
ORD200264,Tablet,436.77,Returned
ORD200265,Printer,572.13,Cancelled
ORD200266,Chair,2332.28,Cancelled
ORD200273,Tablet,476.50,Cancelled
ORD200274,Phone,364.80,Cancelled
ORD200275,Chair,130.14,Cancelled
ORD200276,Printer,1201.14,Returned
ORD200282,Printer,2551.16,Cancelled
ORD200284,Laptop,1040.85,Returned
ORD200286,Monitor,418.35,Returned
ORD200288,Laptop,2051.00,Returned
ORD200293,Tablet,1852.16,Returned
ORD200295,Printer,537.40,Cancelled
ORD200296,Desk,3194.00,Cancelled
ORD200297,Desk,987.76,Returned
ORD200298,Printer,1204.68,Cancelled
ORD200299,Monitor,278.66,Cancelled
ORD200300,Phone,287.46,Returned
ORD200301,Chair,583.99,Cancelled
ORD200303,Tablet,30.54,Returned
ORD200306,Printer,114.14,Returned
ORD200308,Printer,1346.70,Returned
ORD200311,Desk,2446.85,Returned
ORD200315,Tablet,458.35,Cancelled
ORD200317,Monitor,279.90,Returned
ORD200318,Chair,446.16,Cancelled
ORD200319,Laptop,1126.12,Returned
ORD200321,Phone,609.16,Cancelled
ORD200323,Laptop,150.17,Returned
ORD200324,Tablet,212.79,Returned
ORD200326,Laptop,3352.40,Returned
ORD200327,Phone,359.99,Cancelled
ORD200328,Tablet,3370.20,Cancelled
ORD200333,Phone,198.51,Returned
ORD200337,Tablet,1508.31,Returned
ORD200340,Laptop,2606.25,Cancelled
ORD200342,Monitor,2332.10,Returned
ORD200344,Tablet,1870.02,Cancelled
ORD200348,Laptop,1079.19,Returned
ORD200355,Tablet,1299.99,Cancelled
ORD200356,Printer,1872.90,Cancelled
ORD200358,Tablet,367.34,Cancelled
ORD200362,Monitor,827.36,Cancelled
ORD200364,Phone,3143.70,Cancelled
ORD200365,Phone,678.38,Cancelled
ORD200368,Monitor,813.06,Cancelled
ORD200370,Phone,312.11,Cancelled
ORD200372,Chair,1450.59,Returned
ORD200381,Chair,191.76,Returned
ORD200384,Chair,1660.71,Returned
ORD200386,Tablet,93.02,Returned
ORD200391,Laptop,1054.92,Cancelled
ORD200393,Printer,75.01,Returned
ORD200397,Monitor,427.06,Cancelled
ORD200399,Tablet,2119.65,Returned
ORD200400,Desk,640.88,Returned
ORD200401,Printer,538.68,Returned
ORD200403,Tablet,620.21,Returned
ORD200405,Monitor,1807.88,Cancelled
ORD200406,Tablet,264.40,Returned
ORD200407,Tablet,2189.28,Returned
ORD200412,Tablet,665.05,Returned
ORD200416,Laptop,1288.10,Cancelled
ORD200417,Laptop,277.05,Cancelled
ORD200418,Printer,310.93,Cancelled
ORD200421,Chair,576.42,Cancelled
ORD200422,Phone,826.40,Returned
ORD200423,Printer,2740.80,Cancelled
ORD200425,Laptop,603.76,Returned
ORD200426,Monitor,287.25,Cancelled
ORD200428,Chair,1050.32,Cancelled
ORD200431,Printer,52.54,Cancelled
ORD200432,Tablet,848.64,Returned
ORD200433,Monitor,1894.92,Returned
ORD200434,Printer,1638.40,Returned
ORD200435,Printer,414.47,Returned
ORD200441,Printer,657.08,Returned
ORD200443,Chair,139.28,Returned
ORD200447,Printer,833.62,Returned
ORD200450,Monitor,3075.50,Returned
ORD200451,Monitor,183.18,Cancelled
ORD200454,Laptop,109.29,Cancelled
ORD200457,Desk,2463.32,Returned
ORD200458,Monitor,2042.32,Returned
ORD200459,Desk,334.39,Returned
ORD200460,Laptop,144.25,Returned
ORD200462,Phone,252.68,Cancelled
ORD200464,Tablet,1737.68,Cancelled
ORD200465,Printer,2567.45,Cancelled
ORD200467,Desk,45.94,Cancelled
ORD200469,Chair,3384.90,Cancelled
ORD200471,Desk,2756.35,Cancelled
ORD200472,Chair,1524.36,Cancelled
ORD200475,Tablet,877.24,Cancelled
ORD200476,Phone,1027.18,Returned
ORD200484,Chair,60.04,Cancelled
ORD200488,Chair,36.65,Cancelled
ORD200489,Tablet,448.02,Cancelled
ORD200490,Chair,2339.05,Cancelled
ORD200496,Printer,603.63,Cancelled
ORD200498,Tablet,530.24,Returned
ORD200500,Laptop,2542.95,Returned
ORD200502,Monitor,1695.75,Returned
ORD200504,Monitor,929.00,Cancelled
ORD200506,Monitor,87.34,Returned
ORD200509,Laptop,850.06,Returned
ORD200516,Monitor,500.97,Returned
ORD200517,Tablet,793.40,Cancelled
ORD200519,Laptop,1857.16,Returned
ORD200520,Monitor,1907.94,Returned
ORD200522,Chair,515.32,Cancelled
ORD200523,Desk,2631.16,Returned
ORD200524,Phone,153.00,Returned
ORD200526,Desk,93.00,Returned
ORD200527,Chair,3267.35,Cancelled
ORD200528,Chair,628.89,Returned
ORD200533,Desk,565.85,Returned
ORD200534,Chair,1945.77,Cancelled
ORD200535,Monitor,204.36,Cancelled
ORD200536,Chair,616.10,Returned
ORD200542,Tablet,17.98,Cancelled
ORD200544,Printer,159.80,Returned
ORD200545,Monitor,196.94,Returned
ORD200546,Monitor,158.68,Returned
ORD200549,Monitor,2519.52,Cancelled
ORD200552,Chair,1700.72,Returned
ORD200553,Phone,667.66,Cancelled
ORD200554,Laptop,985.80,Returned
ORD200559,Desk,472.20,Cancelled
ORD200562,Laptop,1991.79,Returned
ORD200563,Laptop,132.68,Returned
ORD200564,Desk,1821.40,Cancelled
ORD200566,Phone,650.84,Cancelled
ORD200571,Tablet,214.08,Returned
ORD200572,Printer,70.32,Returned
ORD200573,Chair,2107.10,Cancelled
ORD200575,Chair,2240.75,Returned
ORD200577,Tablet,741.64,Returned
ORD200585,Tablet,268.32,Returned
ORD200586,Monitor,522.08,Returned
ORD200590,Printer,922.26,Returned
ORD200592,Phone,612.81,Returned
ORD200594,Phone,363.20,Cancelled
ORD200596,Desk,1819.23,Returned
ORD200597,Desk,423.64,Cancelled
ORD200599,Chair,1670.97,Cancelled
ORD200600,Printer,72.31,Cancelled
ORD200606,Laptop,824.25,Cancelled
ORD200608,Laptop,2715.80,Cancelled
ORD200609,Chair,1347.39,Returned
ORD200610,Desk,1948.10,Returned
ORD200611,Desk,305.17,Returned
ORD200612,Chair,1335.36,Cancelled
ORD200613,Laptop,460.72,Returned
ORD200614,Phone,96.81,Cancelled
ORD200615,Monitor,2300.70,Returned
ORD200616,Tablet,1804.80,Cancelled
ORD200617,Tablet,553.41,Cancelled
ORD200618,Tablet,411.34,Returned
ORD200620,Tablet,409.02,Returned
ORD200622,Desk,1181.90,Returned
ORD200623,Printer,1188.00,Cancelled
ORD200627,Chair,1496.04,Returned
ORD200630,Monitor,1244.20,Cancelled
ORD200631,Chair,138.33,Returned
ORD200633,Laptop,3008.60,Cancelled
ORD200635,Chair,191.04,Returned
ORD200636,Laptop,1484.28,Cancelled
ORD200639,Chair,529.19,Cancelled
ORD200640,Chair,1174.98,Returned
ORD200642,Chair,426.10,Cancelled
ORD200643,Laptop,438.37,Cancelled
ORD200645,Laptop,300.10,Cancelled
ORD200647,Desk,1018.17,Returned
ORD200649,Monitor,1285.96,Returned
ORD200654,Tablet,1147.11,Returned
ORD200655,Chair,265.20,Cancelled
ORD200657,Tablet,351.16,Cancelled
ORD200658,Printer,92.72,Returned
ORD200661,Tablet,1274.67,Cancelled
ORD200662,Laptop,1316.67,Returned
ORD200663,Monitor,72.60,Cancelled
ORD200666,Monitor,1308.48,Cancelled
ORD200668,Monitor,507.34,Returned
ORD200669,Desk,257.00,Cancelled
ORD200671,Chair,253.70,Cancelled
ORD200676,Laptop,844.68,Cancelled
ORD200677,Tablet,110.35,Cancelled
ORD200679,Tablet,1081.98,Returned
ORD200680,Monitor,1390.17,Returned
ORD200682,Monitor,1528.26,Cancelled
ORD200687,Tablet,332.09,Returned
ORD200688,Monitor,2372.88,Cancelled
ORD200690,Monitor,24.48,Returned
ORD200693,Monitor,176.58,Returned
ORD200699,Laptop,1842.45,Cancelled
ORD200700,Laptop,185.82,Returned
ORD200702,Printer,1687.65,Returned
ORD200705,Monitor,98.16,Returned
ORD200706,Desk,1140.45,Returned
ORD200707,Chair,2600.16,Cancelled
ORD200710,Laptop,107.70,Returned
ORD200713,Tablet,2129.96,Cancelled
ORD200718,Laptop,258.96,Cancelled
ORD200723,Desk,164.85,Returned
ORD200724,Printer,410.91,Returned
ORD200725,Chair,389.70,Returned
ORD200731,Printer,2922.30,Returned
ORD200733,Tablet,1979.36,Returned
ORD200734,Printer,898.44,Returned
ORD200742,Laptop,2099.79,Returned
